CAT;SAC;SIC;Time;LAT;LON;H(m);H(ft);RHO;THETA;Mode3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;MACH;BAR;IVV;TN;GS(kt);HDG.1;STAT;x;y
CAT048;20;129;12:00:02:016;41,1574767;1,98653256;1699,26536720525;5575,01778734169;10,097656;211,376953;4556,0;55,75;ABFA24;AAL113;1015;;;;;;-128.144531;219,0;0,364;1600,0;1760;1408;246,62;231,9159;No alert, no SPI, aircraft airbone;13,325769064552413;2,526915601093279
CAT048;20;129;12:00:02:234;41,27940647;2,06678056;236,21876859013;774,995984741242;2,046875;231,339111;1000,0;7,75;341646;IBE04KP;1015;;;;;;-122.519531;156,0;0,24;2880,0;2784;1906;163,24;243,4296;No alert, no SPI, aircraft airbone;16,931373474523905;9,852556620926679
CAT048;20;129;12:00:02:430;41,22344529;1,84013203;1455,32963907998;4774,70369307916;12,75;248,735962;420,0;47,75;E80476;TAM8115;1015;-2,109;-96,504;274,0;-0,094;276;-95.449219;250,0;0,412;2112,0;2208;2645;273,9;263,4961;No alert, no SPI, aircraft airbone;6,684049152356823;6,46606583090335
CAT048;20;129;12:00:03:172;41,57427995;1,74791393;1584,86991009861;5199,70459584793;22,921875;315,86792;6556,0;52,0;3471CA;ECHNN;;;;;;;;;;;;3334;133,1;114,3182;No alert, no SPI, aircraft airbone;2,495423802677228;27,500723974015465
CAT048;20;129;12:00:03:359;41,47453335;1,9795237;708,674074028619;2325,04624903605;11,808594;332,078247;7375,0;23,25;399A64;BSO2DN;;;;;;;;;;;;3171;116,82;289,5172;No alert, no SPI, aircraft airbone;12,94560018595084;21,539246518062686
CAT048;20;129;12:00:04:180;41,59434842;2,5142548;761,860292937607;2499,54172348142;25,617188;46,428223;7025,0;25,0;346515;ARK31MI;;;;;;;;;;;;3232;135,52;292,2968;No alert, no SPI, aircraft airbone;36,995793350233406;28,878129095807985
CAT048;20;129;12:00:04:180;41,45879777;2,32168788;1813,52098048106;5949,87217360148;13,757812;46,224976;1000,0;59,5;44CDC9;BEL9QH;1015;;;;;;92.8125;209,0;0,352;96,0;32;3528;235,18;99,0582;No alert, no SPI, aircraft airbone;28,38509057119379;20,67669960334248
CAT048;20;129;12:00:04:242;41,48822739;2,42073083;1066,69744811114;3499,66365566095;18,273438;51,888428;1000,0;35,0;344697;VLG41XC;1015;;;;;;64.6875;210,0;0,336;-608,0;-512;3384;226,6;65,4675;No alert, no SPI, aircraft airbone;32,838538449693516;22,476397572562046
CAT048;20;129;12:00:04:375;41,37392467;2,30410831;899,108457917348;2949,83099307355;10,144531;64,25354;2014,0;29,5;4D2265;RYR10NA;1015,2;-0,176;-114,082;216,0;-0,031;212;-115.664062;197,0;0,312;-1312,0;-1280;323;215,82;245,929;No alert, no SPI, aircraft airbone;27,62770881969314;15,581247294388461
CAT048;20;129;12:00:04:406;41,39864117;2,41093068;959,996140927076;3149,59373899919;15,152344;67,077026;2031,0;31,5;06A2F4;QTR25Q;1015;;;;;;-80.332031;192,0;0,308;-992,0;-1056;1364;213,84;280,5194;No alert, no SPI, aircraft airbone;32,44089220397919;17,100254252909913
