CAT;SAC;SIC;Time;LAT;LON;H(m);H(ft);RHO;THETA;Mode3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;MACH;BAR;IVV;TN;GS(kt);HDG.1;STAT;x;y
CAT048;20;129;00:05:58:406;41,44481796;2,45747679;1821,02553484868;5974,49341575295;18,261719;61,589355;1000;59,75;4CA891;RYR4QJ;1014,2;-0,352;-125,684;228,0;0;226,0;-126,914062;202,0;0,34;-928,0;-896;986;227,92;234,2834;No alert, no SPI, aircraft airbone;34,51838710898848;19,887324073641093
CAT048;20;129;00:06:02:398;41,44234343;2,45295596;1805,78922236431;5924,50551230174;18,011719;61,699219;1000;59,25;4CA891;RYR4QJ;1014,2;;;;;;-126,914062;202,0;0,34;-992,0;-960;986;227,92;234,2834;No alert, no SPI, aircraft airbone;34,31568725011072;19,737142186231136
CAT048;20;129;00:06:06:391;41,43993416;2,44839334;1782,93292886298;5849,51767033082;17,761719;61,798096;1000;58,5;4CA891;RYR4QJ;1014,2;;;;;;-127,089844;201,0;0,34;-992,0;-992;986;227,92;234,2834;No alert, no SPI, aircraft airbone;34,11105215878298;19,590868209161677
CAT048;20;129;00:06:10:391;41,43748178;2,44376179;1760,07664297242;5774,52985332963;17,507812;61,902466;1000;57,75;4CA891;RYR4QJ;1014,2;;;;;;-127,089844;201,0;0,336;-1056,0;-1024;986;227,26;234,1351;No alert, no SPI, aircraft airbone;33,90331346827278;19,441992959805695
CAT048;20;129;00:06:14:391;41,43502221;2,43922612;1744,84021682013;5724,54157695215;17,257812;62,017822;1000;57,25;4CA891;RYR4QJ;1014,2;-0,352;-125,859;228,0;0;224,0;-127,089844;201,0;0,336;-1056,0;-1056;986;227,26;234,1351;No alert, no SPI, aircraft airbone;33,69988984079239;19,29273474747645
CAT048;20;129;00:06:18:383;41,43253045;2,43471703;1721,98371172976;5649,55304079146;17,007812;62,144165;1000;56,5;4CA891;RYR4QJ;1014,2;;;;;;-127,089844;202,0;0,336;-1088,0;-1088;986;227,26;234,1351;No alert, no SPI, aircraft airbone;33,49766683601862;19,141567030727106
CAT048;20;129;00:06:22:383;41,4300304;2,43021175;1699,12715770584;5574,56434408761;16,757812;62,276001;1000;55,75;4CA891;RYR4QJ;1014,2;;;;;;-127,089844;202,0;0,336;-1120,0;-1120;986;227,26;234,1351;No alert, no SPI, aircraft airbone;33,29560447535312;18,9899142053136
CAT048;20;129;00:06:26:375;41,42756987;2,4256772;1676,27059961855;5499,57563405254;16,507812;62,402344;1000;55,0;4CA891;RYR4QJ;1014,2;;;;;;-127,089844;202,0;0,336;-1120,0;-1120;986;227,26;234,1351;No alert, no SPI, aircraft airbone;33,092185520894176;18,84063083576832
CAT048;20;129;00:06:30:375;41,42505563;2,42117753;1653,41395039484;5424,5866250134;16,257812;62,545166;1000;54,25;4CA891;RYR4QJ;1014,2;0,0;-125,859;228,0;0;224,0;-127,089844;202,0;0,336;-1088,0;-928;986;227,92;234,2834;No alert, no SPI, aircraft airbone;32,89035244612361;18,68815036080063
CAT048;20;129;00:06:34:367;41,42263234;2,41670519;1638,17726054974;5374,59748350201;16,011719;62,677002;1000;53,75;4CA891;RYR4QJ;1014,2;;;;;;-126,914062;201,0;0,336;-960,0;-736;986;227,26;234,1351;No alert, no SPI, aircraft airbone;32,689692082079155;18,541144902305287
