CAT;SAC;SIC;Time;LAT;LON;H(m);H(ft);RHO;THETA;Mode3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;MACH;BAR;IVV;TN;GS(kt);HDG.1;STAT;x;y;z
CAT048;20;129;05:44:40:438;41,22630632;2,05733911;640,083705138415;2100,01222316632;4,910156;204,411621;432,0;21,0;344646;VLG5YL;1014,0;;;;;;-179,472656;224,0;0,352;1920,0;1984,0;3566;239,14;180,2362;No alert, no SPI, aircraft airbone;30590,32751986684;12346,51458139657;640,083705138415
CAT048;20;129;05:44:40:492;41,16881097;2,00540929;1493,52735181618;4900,02427693261;9,074219;208,981934;1000,0;49,0;346690;VLG68LT;1014,0;0,703;-128,145;240.0;0,156;236,0;-129,375;214,0;0,352;2720,0;2720,0;1788;239,58;232,1246;No alert, no SPI, aircraft airbone;26259,126175199566;5944,269501469902;1493,52735181618
CAT048;20;129;05:44:40:688;41,28273986;2,07645782;106,679450064898;349,998206950918;1,582031;227,076416;1000,0;3,5;4D2240;RYR2SY;1014,2;-1,758;-117,598;154.0;-0,281;154,0;-114,785156;149,0;0,228;2336,0;2304,0;1034;154,0;242,1002;No alert, no SPI, aircraft airbone;32165,71857936741;18620,84151980383;106,679450064898
CAT048;20;129;05:44:41:859;41,30426366;2,09955355;5,36534935235977e-06;1,7602852769196e-05;0,242188;332,061768;5005,0;-0,5;4CA9EB;RYR7EK;1014,0;1,23;-113,906;150.0;-0,062;146,0;-111,445312;144,0;0,216;-704,0;-224,0;139;150,04;245,9949;No alert, no SPI, aircraft airbone;34089,366618169675;21020,05972438482;5,36534935235977e-06
CAT048;20;129;05:44:42:875;41,36567997;2,27962263;701,000284983777;2299,86977498617;8,929688;64,0448;6317,0;23,0;347601;VLG1XG;1014,0;;;;;;-113,90625;186,0;0,292;32,0;0,0;402;199,32;246,0059;No alert, no SPI, aircraft airbone;49123,49862605475;27927,145672444418;701,000284983777
CAT048;20;129;05:44:42:852;41,33045828;2,17609158;335,273270967416;1099,97795832074;3,796875;61,913452;1000,0;11,0;4CADE0;RYR64ZN;1014,0;;;;;;-114,082031;164,0;0,252;-928,0;-960,0;197;173,8;245,5005;No alert, no SPI, aircraft airbone;40483,00485536041;23962,050778994937;335,273270967416
CAT048;20;129;05:44:44:422;41,22190237;2,05736005;678,184507002123;2225,01485795284;5,152344;203,186646;432,0;22,25;344646;VLG5YL;1014,0;;;;;;-179,121094;228,0;0,36;2496,0;2624,0;3566;242,22;180,2362;No alert, no SPI, aircraft airbone;30594,132853287065;11857,428044821394;678,184507002123
CAT048;20;129;05:44:44:492;41,16611101;2,00076559;1554,48690082133;5100,02280369065;9,320312;209,63562;1000,0;51,0;346690;VLG68LT;1014,0;;;;;;-129,199219;214,0;0,356;2592,0;2624,0;1788;239,58;232,1246;No alert, no SPI, aircraft airbone;25870,487715143663;5643,03038285958;1554,48690082133
CAT048;20;129;05:44:44:703;41,28138031;2,07310133;152,399250058457;499,997555561789;1,75;228,510132;1000,0;5,0;4D2240;RYR2SY;1014,2;;;;;;-117,421875;148,0;0,224;2208,0;1856,0;1034;155,32;241,1224;No alert, no SPI, aircraft airbone;31885,190029814436;18468,61519950592;152,399250058457
CAT048;20;129;05:44:45:508;41,30322869;2,09652269;-3,6618672311306e-05;-0,0001201400048658;0,292969;301,184692;5005,0;-0,75;4CA9EB;RYR7EK;1014,0;;;;;;-113,730469;138,0;0,208;-704,0;-32,0;139;144,76;245,9125;No alert, no SPI, aircraft airbone;33836,075173534904;20903,932688464673;-3,6618672311306e-05
CAT048;20;129;05:44:46:852;41,32916286;2,17231152;320,033955369145;1049,9802021333;3,609375;61,726685;1000,0;10,5;4CADE0;RYR64ZN;1014,0;;;;;;-114,257812;161,0;0,248;-960,0;-832,0;197;170,5;245,3851;No alert, no SPI, aircraft airbone;40167,35751584743;23816,42812944127;320,033955369145
CAT048;20;129;05:44:46:875;41,36421744;2,2752747;701,002224644646;2299,87613870314;8,714844;64,000854;6317,0;23,0;347601;VLG1XG;1014,0;;;;;;-114,082031;185,0;0,292;-96,0;-32,0;402;197,56;245,7697;No alert, no SPI, aircraft airbone;48760,80442432741;27762,26782795606;701,002224644646
CAT048;20;129;05:44:48:406;41,21735677;2,05733069;739,145376665518;2425,0177175793;5,40625;202,060547;432,0;24,25;344646;VLG5YL;1014,0;0,0;-179,648;244.0;0;240,0;-178,769531;226,0;0,356;2976,0;3040,0;3566;243,1;180,4669;No alert, no SPI, aircraft airbone;30593,785801023434;11352,592890460064;739,145376665518
CAT048;20;129;05:44:48:500;41,16331998;1,99600303;1600,20639987383;5250,02116496206;9,574219;210,267334;1000,0;52,5;346690;VLG68LT;1014,0;;;;;;-129,199219;215,0;0,356;2528,0;2624,0;1788;241,78;232,2235;No alert, no SPI, aircraft airbone;25471,877190502128;5331,663435076141;1600,20639987383
