CAT;SAC;SIC;Time;LAT;LON;H(m);H(ft);RHO;THETA;Mode3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;MACH;BAR;IVV;TN;GS(kt);HDG.1;STAT;x;y
CAT048;20;129;10:25:35:570;41,53286783;1,94426596;731,547626296058;2400,09071425716;15,644531;332,957153;7351,0;24,0;347243;ARK3BZS;;;;;;;;;;;;1298;89,32;52,1631;No alert, no SPI, aircraft airbone;11,345250884125445;25,032738655988588
CAT048;20;129;10:25:35:680;41,46168539;2,03447969;739,163843316026;2425,07830370495;10,132812;342,476807;7050,0;24,25;343450;ECLBE;1016;;;;;;-56,25;144;0,228;128;NV;2685;158,18;303,6786;No alert, no SPI, aircraft airbone;15,427317755424468;20,777688531675135
CAT048;20;129;10:25:36:492;41,53817569;2,57209047;1767,59349169489;5799,19143129226;25,574219;55,975342;1000,0;58,0;343650;ANE28LD;1015;;;;;;83,671875;219;0,368;-1536;-1600;2343;241,12;82,6062;No alert, no SPI, aircraft airbone;39,63359504411317;25,534803742742902
CAT048;20;129;10:25:36:578;41,47705082;2,58288377;1820,88931703754;5974,04650690944;24,175781;63,874512;1000,0;59,75;484131;KLM41H;1015;;;;;;-131,308594;204;0,344;-640;-544;1010;235,62;229,1309;No alert, no SPI, aircraft airbone;40,15739285251709;21,874050347418237
CAT048;20;129;10:25:36:586;41,40480843;2,39524035;1348,63098831009;4424,64249168728;14,664062;64,671021;2243,0;44,25;C0656F;WJA8;1015;;;;;;-114,433594;204;0,332;-1216;-1344;2446;225,72;245,929;No alert, no SPI, aircraft airbone;31,729414355084902;17,464327427257953
CAT048;20;129;10:25:36:594;41,44239291;2,50577384;1279,95283115469;4199,32044656555;20,132812;64,885254;5001,0;42,0;347696;VLG1254;1015;-0,352;-114,082;222;-0,062;218;-114,082031;200;0,324;-352;-352;3193;222,2;246,0883;No alert, no SPI, aircraft airbone;36,699059980932475;19,761622586660806
CAT048;20;129;10:25:36:516;41,316778;2,13617341;152,398653303273;499,99559770351;1,820312;57,98584;1000,0;5,0;3475DA;VLG593E;1015;;;;;;-114,960938;136;0,208;-768;-704;944;146,3;245,3577;No alert, no SPI, aircraft airbone;20,059131722432653;12,108353217894981
CAT048;20;129;10:25:36:570;41,3420412;2,21013147;480,045453739353;1574,95232644622;5,484375;63,061523;1000,0;15,75;345116;VLG55UB;1015;;;;;;-115,664062;158;0,244;-960;-832;2297;178,64;245,1544;No alert, no SPI, aircraft airbone;23,39390832985888;13,641758109468137
CAT048;20;129;10:25:36:586;41,36889034;2,28929411;853,395789695904;2799,85504266591;9,410156;64,14917;741,0;28,0;4ACA07;NOZ4CW;1015;;;;;;-114,609375;161;0,256;-736;-736;2635;179,96;245,7092;No alert, no SPI, aircraft airbone;26,96058428702826;15,274709248782283
CAT048;20;129;10:25:36:859;41,30254133;2,39259855;1798,20028024632;5899,60740744335;13,175781;89,423218;1000,0;59,0;4CA623;RYR4QJ;1015,2;;;;;;-11,953125;205;0,344;-320;-256;4083;228,14;344,74;No alert, no SPI, aircraft airbone;31,659342717736862;11,330569728022555
CAT048;20;129;10:25:38:047;41,16287636;2,04923052;1478,29856500961;4850,06106402612;8,640625;196,155396;441,0;48,5;4D227B;RYR7543;1013,2;11,426;-153,457;256;0,906;252;-152,050781;229;0,376;1312;1120;76;255,2;206,5649;No alert, no SPI, aircraft airbone;16,16598692644796;2,861286874320704
CAT048;20;129;10:25:38:273;41,25147424;2,05393199;563,879574306309;1849,99866256711;3,679688;216,425171;1000,0;18,5;34744C;VLG17WR;1015;-0,352;-171,562;192;-0,031;190;-173,496094;181;0,284;1536;1376;3949;191,18;188,4265;No alert, no SPI, aircraft airbone;16,35707021161698;8,175081110114867
CAT048;20;129;10:25:39:406;41,50502541;1,86393224;853,408543850295;2799,8968870058;16,308594;318,812256;7375,0;28,0;34830A;BSO2LC;;;;;;;;;;;;14;104,28;282,1674;No alert, no SPI, aircraft airbone;7,728445562426333;23,3541829669404
CAT048;20;129;10:25:39:570;41,53383746;1,94603725;731,548935220577;2400,09500862908;15,660156;333,314209;7351,0;24,0;347243;ARK3BZS;;;;;;;;;;;;1298;89,32;52,4323;No alert, no SPI, aircraft airbone;11,424901505377848;25,091120885098547
CAT048;20;129;10:25:39:664;41,46337354;2,03127469;739,163852506317;2425,07833385683;10,273438;341,878052;7050,0;24,25;343450;ECLBE;1016;-0,352;-54,844;156;NV;154;-56,601562;144;0,228;192;NV;2685;158,4;303,9642;No alert, no SPI, aircraft airbone;15,282340032063367;20,87836352217298
CAT048;20;129;10:25:40:492;41,53814842;2,57806414;1737,10549034365;5699,16517693904;25,796875;56,310425;1000,0;57,0;343650;ANE28LD;1015;27,07;94,043;242;2,281;244;92,8125;219;0,368;-1504;-1568;2343;241,34;91,9006;No alert, no SPI, aircraft airbone;39,90277780292597;25,535896052221972
CAT048;20;129;10:25:40:578;41,47424383;2,57843342;1813,27418583818;5949,06247986533;23,921875;64,02832;1000,0;59,5;484131;KLM41H;1015;;;;;;-131,308594;205;0,344;-512;-512;1010;236,28;229,2902;No alert, no SPI, aircraft airbone;39,95838972022757;21,703669340973175
CAT048;20;129;10:25:40:586;41,40308177;2,39020892;1325,77471006289;4349,65469976274;14,414062;64,660034;2243,0;43,5;C0656F;WJA8;1015;;;;;;-114,433594;203;0,332;-1120;-1280;2446;224,84;245,8301;No alert, no SPI, aircraft airbone;31,50306954062714;17,358956872915503
CAT048;20;129;10:25:40:586;41,44072771;2,50069402;1272,3380464185;4174,33755621168;19,882812;64,868774;5001,0;41,75;347696;VLG1254;1015;;;;;;-114,257812;200;0,324;-320;-352;3193;221,76;245,7477;No alert, no SPI, aircraft airbone;36,470759889245606;19,6596292960364
