CAT;SAC;SIC;Time;LAT;LON;H(m);H(ft);RHO;THETA;Mode3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;MACH;BAR;IVV;TN;GS(kt);HDG;STAT
CAT048;20;129;16:00:01:000;41,30326023;2,09654822;-3,6030076444149E-05;-0,000118208916001022;0,292969;301,618652;5002;-0,25;343650;ANE70RM;1015;N/A;N/A;N/A;N/A;N/A;-115,488281;135;0,204;-256;-64;1694;139,26;245,8246;No alert, no SPI, aircraft airbone
CAT048;20;129;16:00:01:844;41,61722357;2,24291596;868,76827587653;2850,28971022675;20,023438;18,462524;7375;28,5;346408;EAX4G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;1783;99;208,3777;No alert, no SPI, aircraft airbone
CAT048;20;129;16:00:02:336;41,39652148;2,34580192;921,946628419682;3024,75937638443;12,433594;62,369385;6302;30,25;3453C3;VLG787R;1015;N/A;N/A;N/A;N/A;N/A;-73,652344;217;0,344;-896;-800;3579;234,52;296,3452;No alert, no SPI, aircraft airbone
CAT048;20;129;16:00:02:336;41,33555939;2,19115778;403,850174968131;1324,96780804244;4,542969;62,545166;1000;13,25;502D96;DLH03H;1015;0;-114,434;172;0;172;-116,015625;164;0,252;-1024;-1056;2278;171,6;245,528;No alert, no SPI, aircraft airbone
CAT048;20;129;16:00:03:781;41,17391601;2,06312696;1386,85690273438;4550,05560076705;7,839844;193,062744;1417;45,5;3443D2;VLG5VH;1015;-24,961;148,535;244;-2;244;143,085938;222;0,364;2656;2656;2282;244,42;148,3923;No alert, no SPI, aircraft airbone
CAT048;20;129;16:00:04:164;41,26966116;2,05770419;342,898344900459;1124,99460588322;2,742188;227,158813;1451;11,25;343194;VLG48JN;1015;-20,742;-162,422;172;-2,344;174;-167,519531;168;0,26;1312;1248;3714;172,26;197,5891;No alert, no SPI, aircraft airbone
CAT048;20;129;16:00:04:797;41,30228608;2,09368574;-9,71453264355659E-05;-0,000318718272782862;0,390625;284,084473;5002;-0,25;343650;ANE70RM;1015;N/A;N/A;N/A;N/A;N/A;-115,664062;129;0,196;-96;-64;1694;133,98;245,7312;No alert, no SPI, aircraft airbone
CAT048;20;129;16:00:05:844;41,61560378;2,24169933;876,387578805909;2875,28742404958;19,914062;18,4021;7375;28,75;346408;EAX4G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;1783;100,32;208,6084;No alert, no SPI, aircraft airbone
CAT048;20;129;16:00:06:227;41,50764701;2,46685396;1821,04182181042;5974,54685066849;20,648438;52,88269;2004;59,75;440018;EJU74VM;1015;N/A;N/A;N/A;N/A;N/A;-139,570312;251;0,424;-2304;-2304;453;291,94;219,8529;No alert, no SPI, aircraft airbone
CAT048;20;129;16:00:06:320;41,3976986;2,34008542;906,710795911029;2974,77304765674;12,238281;61,517944;6302;29,75;3453C3;VLG787R;1015;-30,234;-77,344;232;-2,844;230;-84,550781;215;0,344;-640;-736;3579;233,64;285,4028;No alert, no SPI, aircraft airbone
