CAT;SAC;SIC;Time;LAT;LON;H(m);H(ft);RHO;THETA;Mode3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;MACH;BAR;IVV;TN;GS(kt);HDG;STAT
CAT048;20;129;20:00:22:000;41,25026742;2,0571065;464,820135894232;1525,00049464723;3,652344;213,931274;6330;15,25;345218;AEA48JV;1016;-2,988;-176,309;190;-0,375;190;-175,957031;181;0,28;1024;928;1867;189,42;183,631;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:22:875;41,45633997;1,61060704;1363,66658886522;4473,97189141257;24,09375;292,966919;7371;44,75;342603;BSO1JL;1017;-2,285;NV;102;NV;108;81,5625;99;0,16;-1472;NV;18;103,4;85,6659;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:24:328;41,36266401;2,27057256;746,724271872081;2449,8828601288;8,484375;63,94043;1000;24,5;4D2049;WMT773;1016;N/A;N/A;N/A;N/A;N/A;-114,960938;192;0,304;-544;-416;101;207,9;245,528;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:25:938;41,17005167;2,00728799;1653,54747569002;5425,02470014285;8,976562;208,734741;5315;54,25;3C48EA;EWG5PJ;1016;-0,879;-127,793;250;-0,094;240;-127,792969;216;0,36;2496;2464;1528;249,7;232,1631;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:25:977;41,24666479;2,05685183;480,060548328795;1575,00184937904;3,839844;212,272339;6330;15,75;345218;AEA48JV;1016;N/A;N/A;N/A;N/A;N/A;-177,1875;187;0,292;1216;1056;1867;196,24;182,6257;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:26:875;41,4567865;1,61328738;1340,81047089864;4398,98462534308;23,992188;293,137207;7371;44;342603;BSO1JL;1017;N/A;N/A;N/A;N/A;N/A;80,15625;102;0,168;-1088;NV;18;103,84;84,4629;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:28:320;41,36109354;2,26600917;739,106195319444;2424,88916985184;8,257812;63,901978;1000;24,25;4D2049;WMT773;1016;N/A;N/A;N/A;N/A;N/A;-114,960938;190;0,3;-640;-672;101;203,28;245,5774;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:29:953;41,24299846;2,0567191;510,541015811265;1675,00338631423;4,03125;210,673828;6330;16,75;345218;AEA48JV;1016;N/A;N/A;N/A;N/A;N/A;-177,714844;191;0,296;1504;1664;1867;200,2;181,9995;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:29:938;41,16716748;2,0023191;1699,26700790878;5575,02317022745;9,238281;209,448853;5315;55,75;3C48EA;EWG5PJ;1016;N/A;N/A;N/A;N/A;N/A;-128,144531;217;0,364;2496;2496;1528;252,34;232,0807;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:30:867;41,45697542;1,61583115;1325,57404989563;4348,99636585958;23,890625;293,269043;7371;43,5;342603;BSO1JL;1017;N/A;N/A;N/A;N/A;N/A;78,75;103;0,168;-736;NV;18;103,4;84,3311;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:32:313;41,35956131;2,26152693;716,248034251854;2349,89520069485;8,035156;63,858032;1000;23,5;4D2049;WMT773;1016;N/A;N/A;N/A;N/A;N/A;-114,960938;189;0,3;-1440;-1376;101;201,08;245,5994;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:33:938;41,1643514;1,99744494;1752,60649589822;5750,02149600271;9,496094;210,113525;5315;57,5;3C48EA;EWG5PJ;1016;N/A;N/A;N/A;N/A;N/A;-128,144531;217;0,364;2528;2464;1528;254,54;231,8665;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:33:930;41,23924477;2,05656811;541,021525522694;1775,00506179588;4,230469;209,196167;6330;17,75;345218;AEA48JV;1016;N/A;N/A;N/A;N/A;N/A;-178,769531;195;0,304;1792;1632;1867;204,16;181,1206;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:34:859;41,45714598;1,61827677;1317,95746949222;4324,00758420885;23,792969;293,395386;7371;43,25;342603;BSO1JL;1017;N/A;N/A;N/A;N/A;N/A;78,046875;102;0,168;-384;NV;18;102,96;84,4135;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:36:313;41,35802517;2,25705192;685,769818116911;2249,90105007069;7,8125;63,814087;1000;22,5;4D2049;WMT773;1016;0,352;-114,258;200;0,344;200;-114,785156;189;0,296;-1472;-1408;101;199,76;245,7422;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:37:906;41,23542798;2,05652467;579,122092334554;1900,0069254149;4,433594;207,773438;6330;19;345218;AEA48JV;1016;-1,406;-179,824;208;-0,125;208;-179,648438;197;0,308;1952;1920;1867;207,24;180,2747;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:37:938;41,16144303;1,99248934;1805,94594048802;5925,01967939071;9,761719;210,745239;5315;59,25;3C48EA;EWG5PJ;1016;N/A;N/A;N/A;N/A;N/A;-128,496094;218;0,368;2432;2464;1528;257,84;231,6138;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:38:859;41,45762227;1,62089967;1310,34122687671;4299,0199107862;23,695312;293,571167;7371;43;342603;BSO1JL;1017;-1,582;NV;106;NV;110;77,167969;100;0,164;-352;NV;18;103,62;83,3533;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:40:305;41,35651099;2,25265416;662,911520766094;2174,90663379023;7,59375;63,770142;1000;21,75;4D2049;WMT773;1016;N/A;N/A;N/A;N/A;N/A;-114,609375;187;0,292;-896;-1120;101;197,56;245,7697;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:41:883;41,23156774;2,05652678;617,222706793807;2025,0089453574;4,640625;206,438599;6330;20,25;345218;AEA48JV;1016;N/A;N/A;N/A;N/A;N/A;179,824219;200;0,312;2048;1984;1867;210,1;179,7253;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:42:852;41,45808785;1,6235219;1302,724960397;4274,03215906889;23,597656;293,746948;7371;42,75;342603;BSO1JL;1017;N/A;N/A;N/A;N/A;N/A;76,640625;101;0,164;-352;NV;18;104,28;82,403;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:44:297;41,35501133;2,24824217;647,673181795515;2124,912081762;7,375;63,71521;1000;21,25;4D2049;WMT773;1016;N/A;N/A;N/A;N/A;N/A;-114,785156;184;0,288;-992;-1088;101;193,38;245,5554;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:45:867;41,22760499;2,056531;655,323374731466;2150,01114075398;4,855469;205,186157;6330;21,5;345218;AEA48JV;1016;N/A;N/A;N/A;N/A;N/A;179,648438;201;0,316;1984;2144;1867;212,08;180;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:46:852;41,45862103;1,62590532;1295,10837840009;4249,04337219017;23,511719;293,922729;7371;42,5;342603;BSO1JL;1017;N/A;N/A;N/A;N/A;N/A;75,9375;101;0,164;-288;NV;18;104,28;81,601;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:48:289;41,35354566;2,24390901;624,814765542746;2049,91727538326;7,160156;63,654785;1000;20,5;4D2049;WMT773;1016;N/A;N/A;N/A;N/A;N/A;-114,960938;183;0,284;-992;-992;101;191,18;245,5774;No alert, no SPI, aircraft airbone
